Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F,Filière de formation
9722,8570,1560,1141,207,940,182,4576,262,943,943,163,1578,555,190,198,5542,654,Année préparatoire
34,34,5,0,0,0,0,22,0,10,13,0,12,9,0,1,14,4,Bachelor
12072,10609,3152,1462,334,2151,248,3866,264,192,224,47,479,65,47,80,2730,66,BPJEPS
414649,397762,138728,16671,4517,121390,4203,53400,1226,27816,30528,1954,37876,2963,13348,11505,83167,5442,BTS - Production
1426781,1342253,432541,83653,23031,332288,15510,264456,7201,64751,74056,6585,96373,12884,24797,27070,807765,49360,BTS - Services
82850,78848,25018,3913,877,21192,862,15571,392,8510,9308,733,13257,1810,3461,3239,33542,4209,BTSA
83,83,19,0,0,0,0,39,0,20,24,0,24,15,0,5,39,12,Cadre Technique
5896,5370,417,524,60,328,84,3831,175,547,553,32,678,487,33,27,3216,307,Classe préparatoire aux études supérieures
168789,165452,8969,3322,519,346,110,141565,1754,9176,9291,209,11718,8046,63,1067,87066,5198,Classe préparatoire économique et commerciale
88196,86977,199,1212,27,86,52,79969,633,6435,6605,100,7875,6431,1,3,62781,5119,Classe préparatoire littéraire
438316,432313,13183,5994,287,231,63,353594,3318,23145,23717,421,26537,21457,55,1633,152811,7857,Classe préparatoire scientifique
6481,6104,2084,376,88,1142,134,2047,43,337,369,20,665,134,60,143,5671,364,Classes préparatoires aux écoles du social
40360,38726,13508,1619,394,4592,329,16050,225,2224,2291,157,3804,811,334,1079,35256,2207,Classes préparatoires aux écoles paramédicales
3509,3509,23,0,0,13,0,3121,0,146,150,0,150,146,0,0,2251,107,CPES
150,141,2,9,1,2,5,120,0,19,20,0,40,19,0,0,126,18,CUPGE - Arts Lettres Langues
1600,1595,14,5,1,2,0,1450,2,184,187,1,190,184,0,0,804,103,CUPGE - Droit-économie-gestion
1351,1351,14,0,0,3,0,1268,0,86,86,0,72,86,0,0,869,63,CUPGE - Sciences humaines et sociales
14797,13891,332,906,65,103,55,10790,247,486,538,51,810,483,0,3,5384,206,"CUPGE - Sciences, technologie, santé"
43187,40665,9374,2509,402,621,185,21377,592,2560,2885,187,3642,1848,4,708,20384,1555,DCG
924,871,246,53,18,125,9,386,9,9,12,1,66,6,0,3,142,4,DEJEPS
16953,15414,4392,1530,353,1532,177,6274,258,832,1133,161,1532,392,110,330,5970,568,DEUST
7651,7495,1699,156,19,846,23,1233,29,122,428,4,495,35,18,69,4551,290,Diplôme des métiers d'Arts
7,0,0,7,0,0,2,0,5,0,0,0,30,0,0,0,5,0,Diplôme d'établissement
53744,51942,10778,1791,338,5438,256,18306,400,1544,2218,89,2350,708,192,644,38460,1764,DN MADE
1907,1472,218,433,83,116,49,886,132,167,168,49,341,119,22,26,1060,123,DU
435539,423815,103629,11661,2922,7474,446,244786,2546,25848,28978,1302,31779,17054,288,8506,111458,6936,DUT - Production
464527,450103,118654,14353,3920,12665,817,248787,2993,22818,25635,1187,27364,14453,413,7952,252624,15811,DUT - Service
37325,37152,3518,173,22,1054,3,22731,68,1968,2644,6,2677,1628,81,259,21248,1681,Ecole d'architecture
2298,2112,230,179,22,108,19,896,48,188,292,1,390,143,10,35,1558,210,Ecole supérieure d'art
21830,21219,3329,596,105,625,49,13797,180,970,1052,137,2047,775,20,175,9246,549,Ecoles de commerce
15173,12542,664,2630,242,107,52,8970,914,841,901,91,2723,832,0,9,4740,415,Formation en ingénierie
1726283,1724991,61386,1290,176,0,0,1536689,573,15364,15964,159,18221,14574,0,790,461028,4716,Formations d'ingénieurs
1552,1045,230,507,80,147,154,278,41,44,123,7,245,25,5,14,1307,119,Formations diplômantes du social
31873,31087,9969,785,84,913,44,8841,109,915,1458,41,1517,452,1,462,25018,1218,Formations diplômantes paramédicales
375486,329947,24767,45436,4923,10144,4641,221244,8068,42415,50453,13157,90202,33551,3261,5603,272170,44712,Licence - Arts-lettres-langues
698,560,15,138,18,9,10,392,28,58,80,36,181,48,3,7,560,94,Licence - Arts-lettres-langues / Sciences humaines et sociales
583554,539410,42423,43963,6823,8470,4046,405905,10887,60084,65459,10730,86060,50247,2624,7213,349268,45581,Licence - Droit-économie-gestion
771,762,6,9,1,2,0,681,2,163,182,5,190,161,0,2,642,151,Licence - Droit-économie-gestion / Arts-lettres-langues
511,378,10,133,9,1,3,306,37,17,21,3,40,17,0,0,221,13,Licence - Droit-économie-gestion / Sciences - technologies - santé
400,354,10,46,2,1,0,312,20,57,57,3,80,57,0,0,244,33,Licence - Droit-économie-gestion / Sciences humaines et sociales
768899,726014,48914,42656,4994,7376,2225,538268,9642,80480,91984,10079,128072,71379,1653,7448,387936,53731,Licence - Sciences - technologies - santé
458611,417856,40837,40663,5526,10469,3620,266516,7060,42996,53012,11476,77718,33155,2935,6906,309395,42100,Licence - Sciences humaines et sociales
159,128,12,31,4,3,4,85,5,26,31,7,75,20,2,4,77,19,Licence - Sciences humaines et sociales / Sciences - technologies - santé
8815,8733,922,82,13,189,4,6295,25,851,944,26,990,729,30,92,2632,320,Licence - STAPS
9677,8348,612,1290,251,6475,560,326,74,1218,1193,196,2404,18,1104,96,3167,419,Mention complémentaire
24512,23525,3437,981,135,2821,153,11822,184,1569,1924,195,2751,1057,208,304,15877,1400,Mise à niveau
783,681,115,102,28,35,6,408,19,170,185,19,365,126,10,34,354,108,Technicien supérieur
52,52,12,0,0,15,0,11,0,14,20,0,20,8,4,2,9,6,Titre professionnel
